site_no,spot_no,date,sst,source
1,5,2019-01-01,21.37,nasa_mur
1,5,2019-01-02,21.65,nasa_mur
1,5,2019-01-03,21.66,nasa_mur
1,5,2019-01-04,21.69,nasa_mur
1,5,2019-01-05,21.48,nasa_mur
1,5,2019-01-06,21.32,nasa_mur
1,5,2019-01-07,21.32,nasa_mur
1,5,2019-01-08,21.37,nasa_mur
1,5,2019-01-09,21.39,nasa_mur
1,5,2019-01-10,21.34,nasa_mur
1,5,2019-01-11,21.42,nasa_mur
1,5,2019-01-12,21.29,nasa_mur
1,5,2019-01-13,21.16,nasa_mur
1,5,2019-01-14,21.09,nasa_mur
1,5,2019-01-15,21.06,nasa_mur
1,5,2019-01-16,21.28,nasa_mur
1,5,2019-01-17,21.78,nasa_mur
1,5,2019-01-18,21.69,nasa_mur
1,5,2019-01-19,21.75,nasa_mur
1,5,2019-01-20,21.73,nasa_mur
1,5,2019-01-21,20.63,nasa_mur
1,5,2019-01-22,20.77,nasa_mur
1,5,2019-01-23,20.86,nasa_mur
1,5,2019-01-24,20.85,nasa_mur
1,5,2019-01-25,20.88,nasa_mur
1,5,2019-01-26,20.56,nasa_mur
1,5,2019-01-27,20.49,nasa_mur
1,5,2019-01-28,20.76,nasa_mur
1,5,2019-01-29,21.36,nasa_mur
1,5,2019-01-30,21.08,nasa_mur
1,5,2019-01-31,21.46,nasa_mur
1,5,2019-02-01,21.4,nasa_mur
1,5,2019-02-02,21.55,nasa_mur
1,5,2019-02-03,21.55,nasa_mur
1,5,2019-02-04,21.66,nasa_mur
1,5,2019-02-05,21.91,nasa_mur
1,5,2019-02-06,21.76,nasa_mur
1,5,2019-02-07,21.94,nasa_mur
1,5,2019-02-08,21.98,nasa_mur
1,5,2019-02-09,22.11,nasa_mur
1,5,2019-02-10,22.01,nasa_mur
1,5,2019-02-11,21.06,nasa_mur
1,5,2019-02-12,20.32,nasa_mur
1,5,2019-02-13,20.39,nasa_mur
1,5,2019-02-14,20.2,nasa_mur
1,5,2019-02-15,20.24,nasa_mur
1,5,2019-02-16,20.12,nasa_mur
1,5,2019-02-17,19.49,nasa_mur
1,5,2019-02-18,19.58,nasa_mur
1,5,2019-02-19,19.64,nasa_mur
1,5,2019-02-20,20.58,nasa_mur
1,5,2019-02-21,20.61,nasa_mur
1,5,2019-02-22,20.59,nasa_mur
1,5,2019-02-23,20.97,nasa_mur
1,5,2019-02-24,21.04,nasa_mur
1,5,2019-02-25,20.72,nasa_mur
1,5,2019-02-26,20.21,nasa_mur
1,5,2019-02-27,20.4,nasa_mur
1,5,2019-02-28,20.9,nasa_mur
1,5,2019-03-01,21.32,nasa_mur
1,5,2019-03-02,20.48,nasa_mur
1,5,2019-03-03,20.32,nasa_mur
1,5,2019-03-04,20.2,nasa_mur
1,5,2019-03-05,20.19,nasa_mur
1,5,2019-03-06,20.95,nasa_mur
1,5,2019-03-07,21.43,nasa_mur
1,5,2019-03-08,21.79,nasa_mur
1,5,2019-03-09,21.75,nasa_mur
1,5,2019-03-10,21.79,nasa_mur
1,5,2019-03-11,21.73,nasa_mur
1,5,2019-03-12,21.68,nasa_mur
1,5,2019-03-13,21.49,nasa_mur
1,5,2019-03-14,22.11,nasa_mur
1,5,2019-03-15,22.79,nasa_mur
1,5,2019-03-16,22.89,nasa_mur
1,5,2019-03-17,22.95,nasa_mur
1,5,2019-03-18,23.53,nasa_mur
1,5,2019-03-19,23.56,nasa_mur
1,5,2019-03-20,23.57,nasa_mur
1,5,2019-03-21,23.55,nasa_mur
1,5,2019-03-22,21.73,nasa_mur
1,5,2019-03-23,21.69,nasa_mur
1,5,2019-03-24,21.52,nasa_mur
1,5,2019-03-25,21.8,nasa_mur
1,5,2019-03-26,22.18,nasa_mur
1,5,2019-03-27,22.1,nasa_mur
1,5,2019-03-28,22.17,nasa_mur
1,5,2019-03-29,21.52,nasa_mur
1,5,2019-03-30,21.51,nasa_mur
1,5,2019-03-31,21.54,nasa_mur
1,5,2019-04-01,21.52,nasa_mur
1,5,2019-04-02,21.59,nasa_mur
1,5,2019-04-03,21.91,nasa_mur
1,5,2019-04-04,22.42,nasa_mur
1,5,2019-04-05,22.86,nasa_mur
1,5,2019-04-06,23.03,nasa_mur
1,5,2019-04-07,22.93,nasa_mur
1,5,2019-04-08,22.32,nasa_mur
1,5,2019-04-09,21.86,nasa_mur
1,5,2019-04-10,21.76,nasa_mur
1,5,2019-04-11,20.67,nasa_mur
1,5,2019-04-12,20.73,nasa_mur
1,5,2019-04-13,20.84,nasa_mur
1,5,2019-04-14,21.29,nasa_mur
1,5,2019-04-15,21.81,nasa_mur
1,5,2019-04-16,21.92,nasa_mur
1,5,2019-04-17,21.83,nasa_mur
1,5,2019-04-18,22.39,nasa_mur
1,5,2019-04-19,22.28,nasa_mur
1,5,2019-04-20,22.32,nasa_mur
1,5,2019-04-21,22.52,nasa_mur
1,5,2019-04-22,22.76,nasa_mur
1,5,2019-04-23,22.75,nasa_mur
1,5,2019-04-24,22.67,nasa_mur
1,5,2019-04-25,21.52,nasa_mur
1,5,2019-04-26,21.46,nasa_mur
1,5,2019-04-27,21.39,nasa_mur
1,5,2019-04-28,21.42,nasa_mur
1,5,2019-04-29,21.58,nasa_mur
1,5,2019-04-30,23.56,nasa_mur
1,5,2019-05-01,23.81,nasa_mur
