site_key,year,bleaching_all,env_type,summer_mean,summer_max,summer_min,days_above_29,days_above_30,days_above_31,cumulative_above_29,n_days,lat,vulnerability,region,dhw_logger,dhw_sat_corrected,bleached,bleached_severe
1_5,2021,0.0,閉鎖系,27.207389344262292,29.016,22.762,2,0,0,0.0319999999999964,244,30.457658,0.1989048865247623,本州・鹿児島離島,16.22680952380951,16.297619047618987,0,0
1_5,2022,10.0,閉鎖系,27.457901639344257,30.219,22.351,50,1,0,27.153999999999996,244,30.457658,0.1989048865247623,本州・鹿児島離島,11.936238095238082,6.825714285714243,1,0
1_5,2023,0.0,閉鎖系,27.254573770491803,29.545,21.596,17,0,0,3.3080000000000034,244,30.457658,0.1989048865247623,本州・鹿児島離島,19.11223809523808,19.883333333333276,0,0
3_11,2020,50.0,中間系,27.65460655737705,30.415,24.177,34,8,0,23.14399999999999,122,28.292611,2.6537422145047933,沖縄本島周辺,21.7726666666667,20.41428571428573,1,1
3_11,2021,0.0,中間系,27.419467213114757,29.18,25.068,3,0,0,0.2660000000000018,122,28.292611,2.6537422145047933,沖縄本島周辺,2.406559523809534,1.936785714285717,0,0
3_11,2022,80.0,中間系,27.956680327868852,30.525,24.028,50,15,0,36.14,122,28.292611,2.6537422145047933,沖縄本島周辺,24.64095238095241,25.288571428571448,1,1
3_11,2023,0.0,中間系,27.559991803278688,29.378,24.038,21,0,0,3.6920000000000073,122,28.292611,2.6537422145047933,沖縄本島周辺,15.175523809523842,15.072857142857153,0,0
3_11,2024,90.0,中間系,28.53704098360656,30.835,23.774,65,34,0,62.875,122,28.292611,2.6537422145047933,沖縄本島周辺,13.906095238095272,13.027142857142865,1,1
3_13,2020,0.0,中間系,27.147172131147546,29.557,23.853,14,0,0,4.286000000000001,122,28.188778,0.6809329058742278,沖縄本島周辺,21.453857142857128,18.12047619047617,0,0
3_13,2021,0.0,中間系,26.878139344262294,28.477,24.506,0,0,0,0.0,122,28.188778,0.6809329058742278,沖縄本島周辺,14.913999999999987,13.177619047619029,0,0
3_13,2022,20.0,中間系,27.259606557377047,29.512,23.797,17,0,0,6.168999999999993,122,28.188778,0.6809329058742278,沖縄本島周辺,24.437285714285704,22.44476190476189,1,0
3_13,2023,0.0,中間系,26.852204918032783,29.23,24.115,1,0,0,0.2300000000000004,122,28.188778,0.6809329058742278,沖縄本島周辺,14.502857142857131,13.901904761904744,0,0
3_13,2024,50.0,中間系,27.712926229508195,29.986,23.69,42,0,0,19.382,122,28.188778,0.6809329058742278,沖縄本島周辺,22.49214285714285,21.683333333333316,1,1
