spot_id,サイト名,地点No,地名,lat,lon,調査日,year,サンゴ被度,白化率_全体,白化率_ミドリイシ,死滅率_全体,死滅率_ミドリイシ
東村～奥_1,東村～奥,1.0,荒崎西礁池**,26.075806,127.674528,2020-09-27 00:00:00,2020,30,20.0,15,50,
東村～奥_2,東村～奥,2.0,大度海岸礁池**,26.087778,127.709361,2020-09-08 00:00:00,2020,20,20.0,23.333333333333332,0.5,
東村～奥_3,東村～奥,3.0,大度海岸礁斜面**,26.085917,127.706667,2020-09-27 00:00:00,2020,50,40.0,38.333333333333336,0.5,
東村～奥_4,東村～奥,4.0,摩文仁南礁池**,26.087556,127.719389,2020-09-27 00:00:00,2020,20,20.0,20,0,
東村～奥_5,東村～奥,5.0,奥武島南礁池**,26.124806,127.772167,2020-09-08 00:00:00,2020,10,10.0,10,0.5,
東村～奥_6,東村～奥,6.0,奥武島南礁斜面**,26.122861,127.772389,2020-09-08 00:00:00,2020,10,20.0,23.333333333333332,0,
東村～奥_7,東村～奥,7.0,クマカ島南*,26.141556,127.851083,2021-01-11 00:00:00,2020,30,20.0,15,0,
東村～奥_8,東村～奥,8.0,久高島エラブ岩東,26.15125,127.888722,2021-01-11 00:00:00,2020,10,10.0,6.666666666666667,0,
東村～奥_9,東村～奥,9.0,ウガン岩南,26.17775,127.929194,2021-01-11 00:00:00,2020,20,20.0,18.333333333333332,0,
東村～奥_10,東村～奥,10.0,津堅島アギハマ東,26.242472,127.951222,2021-01-11 00:00:00,2020,20,10.0,14.166666666666666,0,
東村～奥_11,東村～奥,11.0,ギノギ岩北東,26.279556,127.961167,2021-01-11 00:00:00,2020,10,10.0,7.5,0,
東村～奥_12,東村～奥,12.0,南浮原島南東,26.285056,127.982083,2021-01-11 00:00:00,2020,<5,10.0,6.666666666666667,0,
東村～奥_13,東村～奥,13.0,浮原島北東ヨコビシ,26.306306,128.002528,2021-01-11 00:00:00,2020,20,30.0,25.833333333333332,0,
東村～奥_15,東村～奥,15.0,伊計島東礁斜面,26.384111,128.003833,2021-01-11 00:00:00,2020,20,20.0,20.833333333333332,0,
東村～奥_16,東村～奥,16.0,慶佐次ウッパマ東,26.600667,128.154556,2020-09-19 00:00:00,2020,10,10.0,6,0,
東村～奥_17,東村～奥,17.0,東村宮城ウンシ南,26.614778,128.180583,2020-12-13 00:00:00,2020,40,50.0,30,0,
東村～奥_18,東村～奥,18.0,揚水発電所南東,26.668472,128.270111,2020-12-13 00:00:00,2020,60,50.0,43.333333333333336,0,
東村～奥_19,東村～奥,19.0,安波南,26.707278,128.294194,2020-12-13 00:00:00,2020,40,30.0,18.333333333333332,0,
東村～奥_20,東村～奥,20.0,カツセノ崎南,26.719,128.302722,2020-12-13 00:00:00,2020,30,20.0,18.333333333333332,0,
東村～奥_21,東村～奥,21.0,イシキナ崎南,26.730333,128.314472,2020-12-13 00:00:00,2020,40,40.0,23.333333333333332,0,
東村～奥_22,東村～奥,22.0,安田ヶ島南,26.738944,128.337667,2020-12-13 00:00:00,2020,50,50.0,36.666666666666664,0,
東村～奥_23,東村～奥,23.0,国頭村赤崎北礁池**,26.821806,128.314111,2020-09-19 00:00:00,2020,20,10.0,16.666666666666668,2.5,
東村～奥_24,東村～奥,24.0,国頭村赤崎北礁斜面**,26.823444,128.316917,2020-09-19 00:00:00,2020,40,50.0,51.666666666666664,0,
東村～奥_25,東村～奥,25.0,奥漁港北**,26.849056,128.288028,2020-09-19 00:00:00,2020,40,60.0,50,0,
東村～奥_27,東村～奥,27.0,安田ヶ島北*,26.755083,128.330972,2020-12-13 00:00:00,2020,60,70.0,50,0,
東村～奥_28,東村～奥,28.0,慶佐次ウッパマ東礁斜面,26.600556,128.156889,2020-09-19 00:00:00,2020,60,70.0,63.333333333333336,4,
東村～奥_33,東村～奥,33.0,米須,26.084528,127.698167,2020-09-27 00:00:00,2020,60,50.0,45,0.5,
東村～奥_39,東村～奥,39.0,宇佐浜東礁斜面,26.864861,128.267083,2020-09-19 00:00:00,2020,70,60.0,60,2.5,
東村～奥_40,東村～奥,40.0,浮原北東ヨコビシ東,26.304194,128.012472,2021-01-11 00:00:00,2020,70,60.0,66.66666666666667,0,
恩納村～残波岬_1,恩納村～残波岬,1.0,喜屋武漁港西,26.0985,127.645556,2020-09-27 00:00:00,2020,50,40.0,30,0,
恩納村～残波岬_4,恩納村～残波岬,4.0,チービシクエフ南*,26.244694,127.560889,2021-01-14 00:00:00,2020,60,50.0,63.333333333333336,10,
恩納村～残波岬_5,恩納村～残波岬,5.0,チービシ神山南,26.255444,127.579861,2021-01-14 00:00:00,2020,70,60.0,63.333333333333336,0,
恩納村～残波岬_6,恩納村～残波岬,6.0,チービシナガンヌ南,26.256333,127.539917,2021-01-14 00:00:00,2020,40,40.0,20,5,
恩納村～残波岬_7,恩納村～残波岬,7.0,チービシナガンヌ西,26.27025,127.524111,2021-01-14 00:00:00,2020,70,50.0,60,0,
恩納村～残波岬_8,恩納村～残波岬,8.0,チービシナガンヌ北,26.274111,127.550778,2021-01-14 00:00:00,2020,20,30.0,28.333333333333332,0,
恩納村～残波岬_9,恩納村～残波岬,9.0,空寿崎西座礁船,26.272056,127.694444,2021-01-14 00:00:00,2020,40,20.0,7.5,0,
恩納村～残波岬_10,恩納村～残波岬,10.0,伊佐西,26.296167,127.744722,2020-11-07 00:00:00,2020,50,40.0,23.333333333333332,0,
恩納村～残波岬_12,恩納村～残波岬,12.0,渡具知西,26.3635,127.734472,2020-11-07 00:00:00,2020,20,20.0,7.5,0,
恩納村～残波岬_13,恩納村～残波岬,13.0,残波岬西礁池,26.436694,127.709667,2021-01-21 00:00:00,2020,10,20.0,12.5,1.5,
恩納村～残波岬_14,恩納村～残波岬,14.0,残波岬西礁斜面,26.438639,127.709333,2020-11-07 00:00:00,2020,40,40.0,38.333333333333336,0,
恩納村～残波岬_15,恩納村～残波岬,15.0,真栄田岬西礁池,26.443333,127.768417,2020-09-08 00:00:00,2020,10,10.0,13.333333333333334,5,
恩納村～残波岬_16,恩納村～残波岬,16.0,真栄田岬西礁斜面,26.445333,127.767917,2021-01-16 00:00:00,2020,60,50.0,41.666666666666664,0,
恩納村～残波岬_17,恩納村～残波岬,17.0,恩納村赤崎西礁池,26.493917,127.839944,2020-09-17 00:00:00,2020,60,60.0,56.666666666666664,0,
恩納村～残波岬_18,恩納村～残波岬,18.0,恩納村赤崎西礁斜面,26.495972,127.837778,2020-09-17 00:00:00,2020,70,70.0,66.66666666666667,0,
恩納村～残波岬_19,恩納村～残波岬,19.0,安富祖北礁池,26.507694,127.881861,2020-09-17 00:00:00,2020,50,60.0,56.666666666666664,0,
恩納村～残波岬_20,恩納村～残波岬,20.0,部瀬名岬西,26.539361,127.930028,2020-09-17 00:00:00,2020,60,60.0,41.666666666666664,0,
恩納村～残波岬_21,恩納村～残波岬,21.0,瀬底島南,26.625278,127.858444,2020-10-28 00:00:00,2020,50,60.0,45,0.5,
恩納村～残波岬_23,恩納村～残波岬,23.0,水族館西,26.693167,127.872667,2020-10-28 00:00:00,2020,60,50.0,40,0,
恩納村～残波岬_24,恩納村～残波岬,24.0,備瀬崎東礁池,26.709833,127.879861,2020-09-29 00:00:00,2020,30,30.0,23.333333333333332,0,
恩納村～残波岬_25,恩納村～残波岬,25.0,備瀬崎東礁斜面,26.711611,127.881722,2020-09-29 00:00:00,2020,60,50.0,51.666666666666664,0,
恩納村～残波岬_26,恩納村～残波岬,26.0,今帰仁村長浜北礁池*,26.708028,127.947944,2020-09-29 00:00:00,2020,50,50.0,55,0,
恩納村～残波岬_27,恩納村～残波岬,27.0,今帰仁村長浜北礁斜面*,26.710639,127.947972,2020-09-29 00:00:00,2020,70,70.0,55,0,
恩納村～残波岬_28,恩納村～残波岬,28.0,古宇利島北礁池**,26.713278,128.021028,2020-09-29 00:00:00,2020,40,20.0,45,1.5,
恩納村～残波岬_29,恩納村～残波岬,29.0,古宇利島北礁斜面**,26.715278,128.021278,2020-09-29 00:00:00,2020,80,70.0,68.33333333333333,0,
恩納村～残波岬_31,恩納村～残波岬,31.0,大嶺崎大瀬,26.192417,127.614583,2020-09-27 00:00:00,2020,50,20.0,18.333333333333332,0.5,
恩納村～残波岬_32,恩納村～残波岬,32.0,水釜*,26.360111,127.739222,2020-09-08 00:00:00,2020,20,10.0,27.5,35,
