site_no,spot_no,year,date,bleaching_all,env_group,lat,dhw_logger,dhw_mur_raw,dhw_mur_corr,dhw_mur_corr_adj
1,5,2020,2020-10-26,0.0,閉鎖系,30.457658,,,,
1,5,2021,2021-10-07,0.0,閉鎖系,30.457658,0.8885437788018484,0.3014285714285688,0.018571428571427923,0.3014285714285688
1,5,2022,2022-12-03,10.0,閉鎖系,30.457658,0.0,0.0,0.0,0.0
1,5,2023,2023-10-19,0.0,閉鎖系,30.457658,2.7948264208909497,1.6099999999999943,0.6071428571428521,1.6099999999999943
1,5,2024,2024-10-15,90.0,閉鎖系,30.457658,,,,
3,11,2020,2020-09-09,50.0,中間系,28.292611,2.74285714285714,4.026175115207378,3.6360368663594542,5.169032258064527
3,11,2021,2021-12-29,0.0,中間系,28.292611,0.0,0.0,0.0,0.0
3,11,2022,2022-10-03,80.0,中間系,28.292611,3.883129032258062,2.998940092165902,2.470645161290327,3.741797235023049
3,11,2023,2023-10-29,0.0,中間系,28.292611,0.016069124423963337,0.0003686635944702183,0.0,0.0003686635944702183
3,11,2024,2024-12-01,90.0,中間系,28.292611,0.0,0.0,0.0,0.0
3,13,2020,2020-09-25,0.0,中間系,28.188778,2.2427078341013726,3.4328571428571513,2.615668202764984,3.890000000000011
3,13,2021,2021-10-04,0.0,中間系,28.188778,0.014208294930874896,0.01811059907834129,0.0,0.01811059907834129
3,13,2022,2022-09-28,20.0,中間系,28.188778,3.8109603686635736,3.244377880184342,1.982396313364062,3.4158064516129145
3,13,2023,2023-09-14,0.0,中間系,28.188778,0.11653271889400887,0.0,0.0,0.0
3,13,2024,2024-11-05,50.0,中間系,28.188778,0.6228331797234995,0.206267281105992,0.04050691244239652,0.206267281105992
4,3,2020,2020-09-27,0.5,外洋系,26.085917,1.5876021699819194,1.7150138248848015,0.9436036866359484,1.8435852534562305
4,3,2021,2021-11-16,0.0,外洋系,26.085917,0.508312839059677,0.09197235023041626,0.0,0.09197235023041626
4,3,2022,2022-12-27,10.0,外洋系,26.085917,0.0,0.0,0.0,0.0
4,3,2023,2023-09-12,0.0,外洋系,26.085917,0.9576419529837291,1.0933640552995476,0.27020276497696066,1.0933640552995476
4,3,2024,2024-10-07,80.0,外洋系,26.085917,7.156314647377948,6.019705069124441,5.231815668202777,7.13399078341016
4,15,2020,2021-01-11,0.0,外洋系,26.384111,,,,
4,15,2021,2021-09-20,0.0,外洋系,26.384111,0.16456084656084613,0.22550264550264792,0.09417989417989503,0.2683597883597909
4,15,2022,2023-01-20,0.0,外洋系,26.384111,,,,
4,15,2023,2023-12-06,0.0,外洋系,26.384111,0.0,0.0,0.0,0.0
4,15,2024,2024-10-19,70.0,外洋系,26.384111,2.3270740740740723,1.8411287477954248,1.7816754850088274,2.655414462081141
4,26,2023,2023-11-16,0.0,外洋系,26.865694,1.027798156682028,0.30536405529953925,0.07104147465437803,0.3053640552995337
4,26,2024,2024-11-17,20.0,外洋系,26.865694,0.5211447004608313,0.3231244239631335,0.021235023041474527,0.3231244239631274
5,14,2020,2020-11-07,0.0,外洋系,26.438639,0.0,0.0,0.0,0.0
5,14,2021,2021-10-09,0.0,外洋系,26.438639,0.28020046082949435,0.23695852534562892,0.027788018433181856,0.23695852534562484
5,14,2022,2022-10-22,0.0,外洋系,26.438639,0.6319527649769593,0.6098156682027722,0.4305529953917109,0.738387096774197
5,14,2023,2023-09-05,0.0,外洋系,26.438639,,,,
5,14,2024,2024-09-11,80.0,外洋系,26.438639,6.726985023041484,4.918156682027692,4.2776958525345945,6.1610138248848125
5,29,2020,2020-09-29,0.0,外洋系,26.715278,1.10918986175115,1.9963502304147305,1.2876405529953776,2.2106359447004453
5,29,2021,2021-10-16,0.0,外洋系,26.715278,0.4921557603686603,0.38030414746543023,0.09442396313363689,0.38030414746543023
5,29,2022,2022-10-09,3.0,外洋系,26.715278,3.1486451612903195,2.4377511520737194,1.760580645161276,2.694894009216577
5,29,2023,2023-09-18,0.0,外洋系,26.715278,0.6059723502304121,0.5661290322580557,0.1844516129032218,0.5661290322580557
5,29,2024,2024-09-22,80.0,外洋系,26.715278,8.659167741935475,6.517179723502272,5.405474654377852,7.5028940092165595
