プロット タイトル: site01_spot005(-8)_2023,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21011404, SEN S/N: 21011404)",カプラー取り外し (LGR S/N: 21011404),カプラー取り付け (LGR S/N: 21011404),停止済み (LGR S/N: 21011404),ファイルの終わり (LGR S/N: 21011404)
1,01/11/23 03:00:00 午後,22.034,記録,,,
2,01/11/23 04:00:00 午後,22.633,,,,
3,01/11/23 05:00:00 午後,22.657,,,,
4,01/11/23 06:00:00 午後,22.657,,,,
5,01/11/23 07:00:00 午後,22.681,,,,
6,01/11/23 08:00:00 午後,22.657,,,,
7,01/11/23 09:00:00 午後,22.657,,,,
8,01/11/23 10:00:00 午後,22.633,,,,
9,01/11/23 11:00:00 午後,22.561,,,,
10,01/12/23 12:00:00 午前,22.633,,,,
11,01/12/23 01:00:00 午前,22.776,,,,
12,01/12/23 02:00:00 午前,22.872,,,,
13,01/12/23 03:00:00 午前,22.824,,,,
14,01/12/23 04:00:00 午前,22.824,,,,
15,01/12/23 05:00:00 午前,22.872,,,,
16,01/12/23 06:00:00 午前,22.824,,,,
17,01/12/23 07:00:00 午前,22.848,,,,
18,01/12/23 08:00:00 午前,22.8,,,,
19,01/12/23 09:00:00 午前,22.8,,,,
20,01/12/23 10:00:00 午前,22.776,,,,
21,01/12/23 11:00:00 午前,22.8,,,,
22,01/12/23 12:00:00 午後,22.8,,,,
23,01/12/23 01:00:00 午後,22.776,,,,
24,01/12/23 02:00:00 午後,22.8,,,,
25,01/12/23 03:00:00 午後,22.776,,,,
26,01/12/23 04:00:00 午後,22.776,,,,
27,01/12/23 05:00:00 午後,22.8,,,,
28,01/12/23 06:00:00 午後,22.848,,,,
29,01/12/23 07:00:00 午後,22.848,,,,
30,01/12/23 08:00:00 午後,22.896,,,,
31,01/12/23 09:00:00 午後,22.92,,,,
32,01/12/23 10:00:00 午後,22.872,,,,
33,01/12/23 11:00:00 午後,22.896,,,,
34,01/13/23 12:00:00 午前,22.92,,,,
35,01/13/23 01:00:00 午前,22.92,,,,
36,01/13/23 02:00:00 午前,22.872,,,,
37,01/13/23 03:00:00 午前,22.824,,,,
38,01/13/23 04:00:00 午前,22.896,,,,
39,01/13/23 05:00:00 午前,22.992,,,,
40,01/13/23 06:00:00 午前,23.016,,,,
41,01/13/23 07:00:00 午前,22.992,,,,
42,01/13/23 08:00:00 午前,22.968,,,,
43,01/13/23 09:00:00 午前,22.968,,,,
44,01/13/23 10:00:00 午前,22.968,,,,
45,01/13/23 11:00:00 午前,22.968,,,,
46,01/13/23 12:00:00 午後,22.968,,,,
47,01/13/23 01:00:00 午後,22.968,,,,
48,01/13/23 02:00:00 午後,22.968,,,,
49,01/13/23 03:00:00 午後,22.992,,,,
50,01/13/23 04:00:00 午後,22.992,,,,
51,01/13/23 05:00:00 午後,22.992,,,,
52,01/13/23 06:00:00 午後,22.968,,,,
53,01/13/23 07:00:00 午後,22.992,,,,
54,01/13/23 08:00:00 午後,22.968,,,,
55,01/13/23 09:00:00 午後,23.016,,,,
56,01/13/23 10:00:00 午後,23.016,,,,
57,01/13/23 11:00:00 午後,23.016,,,,
58,01/14/23 12:00:00 午前,23.016,,,,
59,01/14/23 01:00:00 午前,22.992,,,,
60,01/14/23 02:00:00 午前,22.968,,,,
61,01/14/23 03:00:00 午前,22.968,,,,
62,01/14/23 04:00:00 午前,22.992,,,,
63,01/14/23 05:00:00 午前,22.992,,,,
64,01/14/23 06:00:00 午前,22.992,,,,
65,01/14/23 07:00:00 午前,22.968,,,,
66,01/14/23 08:00:00 午前,22.944,,,,
67,01/14/23 09:00:00 午前,22.92,,,,
68,01/14/23 10:00:00 午前,22.944,,,,
69,01/14/23 11:00:00 午前,22.968,,,,
70,01/14/23 12:00:00 午後,22.968,,,,
71,01/14/23 01:00:00 午後,22.968,,,,
72,01/14/23 02:00:00 午後,22.992,,,,
73,01/14/23 03:00:00 午後,22.992,,,,
74,01/14/23 04:00:00 午後,23.016,,,,
75,01/14/23 05:00:00 午後,23.016,,,,
76,01/14/23 06:00:00 午後,23.016,,,,
77,01/14/23 07:00:00 午後,23.04,,,,
78,01/14/23 08:00:00 午後,23.04,,,,
79,01/14/23 09:00:00 午後,23.016,,,,
80,01/14/23 10:00:00 午後,23.04,,,,
81,01/14/23 11:00:00 午後,23.016,,,,
82,01/15/23 12:00:00 午前,23.016,,,,
83,01/15/23 01:00:00 午前,23.016,,,,
84,01/15/23 02:00:00 午前,23.016,,,,
85,01/15/23 03:00:00 午前,23.016,,,,
86,01/15/23 04:00:00 午前,22.992,,,,
87,01/15/23 05:00:00 午前,22.992,,,,
88,01/15/23 06:00:00 午前,22.992,,,,
89,01/15/23 07:00:00 午前,22.992,,,,
90,01/15/23 08:00:00 午前,22.968,,,,
91,01/15/23 09:00:00 午前,22.968,,,,
92,01/15/23 10:00:00 午前,22.992,,,,
93,01/15/23 11:00:00 午前,23.04,,,,
94,01/15/23 12:00:00 午後,23.064,,,,
95,01/15/23 01:00:00 午後,23.064,,,,
96,01/15/23 02:00:00 午後,23.064,,,,
97,01/15/23 03:00:00 午後,23.04,,,,
98,01/15/23 04:00:00 午後,22.944,,,,
99,01/15/23 05:00:00 午後,22.968,,,,
100,01/15/23 06:00:00 午後,22.896,,,,
101,01/15/23 07:00:00 午後,22.992,,,,
102,01/15/23 08:00:00 午後,23.016,,,,
103,01/15/23 09:00:00 午後,23.016,,,,
104,01/15/23 10:00:00 午後,22.968,,,,
105,01/15/23 11:00:00 午後,22.968,,,,
106,01/16/23 12:00:00 午前,22.944,,,,
107,01/16/23 01:00:00 午前,22.872,,,,
108,01/16/23 02:00:00 午前,22.848,,,,
109,01/16/23 03:00:00 午前,22.776,,,,
110,01/16/23 04:00:00 午前,22.8,,,,
111,01/16/23 05:00:00 午前,22.657,,,,
112,01/16/23 06:00:00 午前,22.585,,,,
113,01/16/23 07:00:00 午前,22.633,,,,
114,01/16/23 08:00:00 午前,22.369,,,,
115,01/16/23 09:00:00 午前,22.393,,,,
116,01/16/23 10:00:00 午前,22.585,,,,
117,01/16/23 11:00:00 午前,22.321,,,,
118,01/16/23 12:00:00 午後,22.369,,,,
119,01/16/23 01:00:00 午後,22.441,,,,
120,01/16/23 02:00:00 午後,22.417,,,,
121,01/16/23 03:00:00 午後,22.226,,,,
122,01/16/23 04:00:00 午後,22.13,,,,
123,01/16/23 05:00:00 午後,22.082,,,,
124,01/16/23 06:00:00 午後,22.058,,,,
125,01/16/23 07:00:00 午後,22.011,,,,
126,01/16/23 08:00:00 午後,22.082,,,,
127,01/16/23 09:00:00 午後,22.058,,,,
128,01/16/23 10:00:00 午後,21.939,,,,
129,01/16/23 11:00:00 午後,21.963,,,,
130,01/17/23 12:00:00 午前,22.178,,,,
131,01/17/23 01:00:00 午前,22.178,,,,
132,01/17/23 02:00:00 午前,22.154,,,,
133,01/17/23 03:00:00 午前,22.178,,,,
134,01/17/23 04:00:00 午前,22.25,,,,
135,01/17/23 05:00:00 午前,22.298,,,,
136,01/17/23 06:00:00 午前,22.345,,,,
137,01/17/23 07:00:00 午前,22.202,,,,
138,01/17/23 08:00:00 午前,22.154,,,,
139,01/17/23 09:00:00 午前,22.082,,,,
140,01/17/23 10:00:00 午前,22.106,,,,
141,01/17/23 11:00:00 午前,22.082,,,,
142,01/17/23 12:00:00 午後,22.25,,,,
143,01/17/23 01:00:00 午後,22.417,,,,
144,01/17/23 02:00:00 午後,22.489,,,,
145,01/17/23 03:00:00 午後,22.537,,,,
146,01/17/23 04:00:00 午後,22.537,,,,
147,01/17/23 05:00:00 午後,22.489,,,,
148,01/17/23 06:00:00 午後,22.417,,,,
149,01/17/23 07:00:00 午後,22.321,,,,
150,01/17/23 08:00:00 午後,22.298,,,,
151,01/17/23 09:00:00 午後,22.465,,,,
152,01/17/23 10:00:00 午後,22.465,,,,
153,01/17/23 11:00:00 午後,22.561,,,,
154,01/18/23 12:00:00 午前,22.585,,,,
155,01/18/23 01:00:00 午前,22.561,,,,
156,01/18/23 02:00:00 午前,22.513,,,,
157,01/18/23 03:00:00 午前,22.513,,,,
158,01/18/23 04:00:00 午前,22.513,,,,
159,01/18/23 05:00:00 午前,22.513,,,,
160,01/18/23 06:00:00 午前,22.513,,,,
161,01/18/23 07:00:00 午前,22.489,,,,
162,01/18/23 08:00:00 午前,22.465,,,,
163,01/18/23 09:00:00 午前,22.178,,,,
164,01/18/23 10:00:00 午前,22.393,,,,
165,01/18/23 11:00:00 午前,22.369,,,,
166,01/18/23 12:00:00 午後,22.25,,,,
