プロット タイトル: site03_spot013_2021,,,,,,,,
#,日付,"時間, GMT+09:00","温度, °C (LGR S/N: 10938130, SEN S/N: 10938130)",カプラー取り外し (LGR S/N: 10938130),カプラー取り付け (LGR S/N: 10938130),ホスト接続 (LGR S/N: 10938130),停止済み (LGR S/N: 10938130),ファイルの終わり (LGR S/N: 10938130)
1,2020/9/25,10:00:00,28.766,記録,,,,
2,2020/9/25,11:00:00,30.091,,,,,
3,2020/9/25,12:00:00,27.801,,,,,
4,2020/9/25,13:00:00,27.653,,,,,
5,2020/9/25,14:00:00,27.604,,,,,
6,2020/9/25,15:00:00,27.653,,,,,
7,2020/9/25,16:00:00,27.751,,,,,
8,2020/9/25,17:00:00,27.751,,,,,
9,2020/9/25,18:00:00,27.727,,,,,
10,2020/9/25,19:00:00,28.023,,,,,
11,2020/9/25,20:00:00,28.048,,,,,
12,2020/9/25,21:00:00,27.949,,,,,
13,2020/9/25,22:00:00,27.924,,,,,
14,2020/9/25,23:00:00,27.924,,,,,
15,2020/9/26,0:00:00,27.924,,,,,
16,2020/9/26,1:00:00,27.481,,,,,
17,2020/9/26,2:00:00,27.628,,,,,
18,2020/9/26,3:00:00,27.554,,,,,
19,2020/9/26,4:00:00,27.554,,,,,
20,2020/9/26,5:00:00,27.801,,,,,
21,2020/9/26,6:00:00,27.776,,,,,
22,2020/9/26,7:00:00,27.727,,,,,
23,2020/9/26,8:00:00,27.677,,,,,
24,2020/9/26,9:00:00,27.677,,,,,
25,2020/9/26,10:00:00,27.727,,,,,
26,2020/9/26,11:00:00,27.825,,,,,
27,2020/9/26,12:00:00,27.776,,,,,
28,2020/9/26,13:00:00,27.751,,,,,
29,2020/9/26,14:00:00,27.677,,,,,
30,2020/9/26,15:00:00,27.677,,,,,
31,2020/9/26,16:00:00,27.579,,,,,
32,2020/9/26,17:00:00,27.628,,,,,
33,2020/9/26,18:00:00,27.554,,,,,
34,2020/9/26,19:00:00,27.53,,,,,
35,2020/9/26,20:00:00,27.677,,,,,
36,2020/9/26,21:00:00,27.677,,,,,
37,2020/9/26,22:00:00,27.653,,,,,
38,2020/9/26,23:00:00,27.653,,,,,
39,2020/9/27,0:00:00,27.653,,,,,
40,2020/9/27,1:00:00,27.776,,,,,
41,2020/9/27,2:00:00,27.751,,,,,
42,2020/9/27,3:00:00,27.431,,,,,
43,2020/9/27,4:00:00,27.505,,,,,
44,2020/9/27,5:00:00,27.456,,,,,
45,2020/9/27,6:00:00,27.53,,,,,
46,2020/9/27,7:00:00,27.554,,,,,
47,2020/9/27,8:00:00,27.579,,,,,
48,2020/9/27,9:00:00,27.53,,,,,
49,2020/9/27,10:00:00,27.579,,,,,
50,2020/9/27,11:00:00,27.628,,,,,
51,2020/9/27,12:00:00,27.727,,,,,
52,2020/9/27,13:00:00,27.677,,,,,
53,2020/9/27,14:00:00,27.727,,,,,
54,2020/9/27,15:00:00,27.481,,,,,
55,2020/9/27,16:00:00,27.407,,,,,
56,2020/9/27,17:00:00,27.505,,,,,
57,2020/9/27,18:00:00,27.481,,,,,
58,2020/9/27,19:00:00,27.53,,,,,
59,2020/9/27,20:00:00,27.554,,,,,
60,2020/9/27,21:00:00,27.53,,,,,
61,2020/9/27,22:00:00,27.604,,,,,
62,2020/9/27,23:00:00,27.554,,,,,
63,2020/9/28,0:00:00,27.579,,,,,
64,2020/9/28,1:00:00,27.604,,,,,
65,2020/9/28,2:00:00,27.579,,,,,
66,2020/9/28,3:00:00,27.431,,,,,
67,2020/9/28,4:00:00,27.407,,,,,
68,2020/9/28,5:00:00,27.407,,,,,
69,2020/9/28,6:00:00,27.382,,,,,
70,2020/9/28,7:00:00,27.407,,,,,
71,2020/9/28,8:00:00,27.407,,,,,
72,2020/9/28,9:00:00,27.407,,,,,
73,2020/9/28,10:00:00,27.407,,,,,
74,2020/9/28,11:00:00,27.481,,,,,
75,2020/9/28,12:00:00,27.53,,,,,
76,2020/9/28,13:00:00,27.554,,,,,
77,2020/9/28,14:00:00,27.554,,,,,
78,2020/9/28,15:00:00,27.284,,,,,
79,2020/9/28,16:00:00,27.358,,,,,
80,2020/9/28,17:00:00,27.358,,,,,
81,2020/9/28,18:00:00,27.259,,,,,
82,2020/9/28,19:00:00,27.235,,,,,
83,2020/9/28,20:00:00,27.259,,,,,
84,2020/9/28,21:00:00,27.259,,,,,
85,2020/9/28,22:00:00,27.308,,,,,
86,2020/9/28,23:00:00,27.333,,,,,
87,2020/9/29,0:00:00,27.431,,,,,
88,2020/9/29,1:00:00,27.407,,,,,
89,2020/9/29,2:00:00,27.407,,,,,
90,2020/9/29,3:00:00,27.333,,,,,
91,2020/9/29,4:00:00,27.259,,,,,
92,2020/9/29,5:00:00,27.186,,,,,
93,2020/9/29,6:00:00,27.21,,,,,
94,2020/9/29,7:00:00,27.259,,,,,
95,2020/9/29,8:00:00,27.259,,,,,
96,2020/9/29,9:00:00,27.259,,,,,
97,2020/9/29,10:00:00,27.358,,,,,
98,2020/9/29,11:00:00,27.333,,,,,
99,2020/9/29,12:00:00,27.407,,,,,
100,2020/9/29,13:00:00,27.53,,,,,
101,2020/9/29,14:00:00,27.481,,,,,
102,2020/9/29,15:00:00,27.333,,,,,
103,2020/9/29,16:00:00,27.333,,,,,
104,2020/9/29,17:00:00,27.235,,,,,
105,2020/9/29,18:00:00,27.136,,,,,
106,2020/9/29,19:00:00,27.161,,,,,
107,2020/9/29,20:00:00,27.186,,,,,
108,2020/9/29,21:00:00,27.161,,,,,
109,2020/9/29,22:00:00,27.235,,,,,
110,2020/9/29,23:00:00,27.235,,,,,
111,2020/9/30,0:00:00,27.284,,,,,
112,2020/9/30,1:00:00,27.284,,,,,
113,2020/9/30,2:00:00,27.259,,,,,
114,2020/9/30,3:00:00,27.259,,,,,
115,2020/9/30,4:00:00,27.161,,,,,
116,2020/9/30,5:00:00,27.087,,,,,
117,2020/9/30,6:00:00,27.087,,,,,
118,2020/9/30,7:00:00,27.112,,,,,
119,2020/9/30,8:00:00,27.161,,,,,
120,2020/9/30,9:00:00,27.136,,,,,
121,2020/9/30,10:00:00,27.112,,,,,
122,2020/9/30,11:00:00,27.186,,,,,
123,2020/9/30,12:00:00,27.284,,,,,
124,2020/9/30,13:00:00,27.308,,,,,
125,2020/9/30,14:00:00,27.284,,,,,
126,2020/9/30,15:00:00,27.161,,,,,
127,2020/9/30,16:00:00,26.989,,,,,
128,2020/9/30,17:00:00,27.087,,,,,
129,2020/9/30,18:00:00,27.063,,,,,
130,2020/9/30,19:00:00,27.112,,,,,
131,2020/9/30,20:00:00,27.136,,,,,
132,2020/9/30,21:00:00,27.112,,,,,
133,2020/9/30,22:00:00,27.038,,,,,
134,2020/9/30,23:00:00,27.038,,,,,
135,2020/10/1,0:00:00,27.063,,,,,
136,2020/10/1,1:00:00,27.038,,,,,
137,2020/10/1,2:00:00,27.014,,,,,
138,2020/10/1,3:00:00,27.087,,,,,
139,2020/10/1,4:00:00,26.965,,,,,
140,2020/10/1,5:00:00,27.014,,,,,
141,2020/10/1,6:00:00,27.014,,,,,
142,2020/10/1,7:00:00,27.063,,,,,
143,2020/10/1,8:00:00,27.136,,,,,
144,2020/10/1,9:00:00,27.21,,,,,
145,2020/10/1,10:00:00,27.161,,,,,
146,2020/10/1,11:00:00,27.259,,,,,
147,2020/10/1,12:00:00,27.186,,,,,
148,2020/10/1,13:00:00,27.407,,,,,
149,2020/10/1,14:00:00,27.456,,,,,
150,2020/10/1,15:00:00,27.333,,,,,
151,2020/10/1,16:00:00,27.112,,,,,
152,2020/10/1,17:00:00,27.21,,,,,
153,2020/10/1,18:00:00,27.087,,,,,
154,2020/10/1,19:00:00,27.087,,,,,
155,2020/10/1,20:00:00,27.136,,,,,
156,2020/10/1,21:00:00,27.112,,,,,
157,2020/10/1,22:00:00,27.087,,,,,
158,2020/10/1,23:00:00,27.063,,,,,
159,2020/10/2,0:00:00,27.063,,,,,
160,2020/10/2,1:00:00,27.038,,,,,
161,2020/10/2,2:00:00,27.038,,,,,
162,2020/10/2,3:00:00,27.038,,,,,
163,2020/10/2,4:00:00,27.014,,,,,
164,2020/10/2,5:00:00,26.94,,,,,
165,2020/10/2,6:00:00,26.965,,,,,
166,2020/10/2,7:00:00,26.965,,,,,
167,2020/10/2,8:00:00,27.087,,,,,
168,2020/10/2,9:00:00,27.161,,,,,
169,2020/10/2,10:00:00,27.308,,,,,
170,2020/10/2,11:00:00,27.308,,,,,
171,2020/10/2,12:00:00,27.087,,,,,
172,2020/10/2,13:00:00,27.235,,,,,
173,2020/10/2,14:00:00,27.308,,,,,
174,2020/10/2,15:00:00,27.186,,,,,
175,2020/10/2,16:00:00,27.235,,,,,
176,2020/10/2,17:00:00,27.186,,,,,
177,2020/10/2,18:00:00,26.989,,,,,
178,2020/10/2,19:00:00,27.063,,,,,
179,2020/10/2,20:00:00,27.112,,,,,
180,2020/10/2,21:00:00,27.112,,,,,
181,2020/10/2,22:00:00,27.087,,,,,
182,2020/10/2,23:00:00,26.989,,,,,
183,2020/10/3,0:00:00,27.038,,,,,
184,2020/10/3,1:00:00,27.038,,,,,
185,2020/10/3,2:00:00,27.014,,,,,
186,2020/10/3,3:00:00,26.989,,,,,
187,2020/10/3,4:00:00,26.94,,,,,
188,2020/10/3,5:00:00,26.842,,,,,
189,2020/10/3,6:00:00,26.818,,,,,
190,2020/10/3,7:00:00,26.916,,,,,
191,2020/10/3,8:00:00,27.038,,,,,
192,2020/10/3,9:00:00,27.087,,,,,
193,2020/10/3,10:00:00,27.235,,,,,
194,2020/10/3,11:00:00,27.235,,,,,
195,2020/10/3,12:00:00,27.284,,,,,
196,2020/10/3,13:00:00,27.21,,,,,
197,2020/10/3,14:00:00,27.333,,,,,
198,2020/10/3,15:00:00,27.308,,,,,
199,2020/10/3,16:00:00,27.259,,,,,
200,2020/10/3,17:00:00,27.161,,,,,
201,2020/10/3,18:00:00,27.087,,,,,
202,2020/10/3,19:00:00,26.989,,,,,
203,2020/10/3,20:00:00,27.112,,,,,
204,2020/10/3,21:00:00,27.112,,,,,
205,2020/10/3,22:00:00,27.087,,,,,
206,2020/10/3,23:00:00,27.063,,,,,
207,2020/10/4,0:00:00,27.038,,,,,
208,2020/10/4,1:00:00,26.94,,,,,
209,2020/10/4,2:00:00,26.94,,,,,
210,2020/10/4,3:00:00,26.916,,,,,
211,2020/10/4,4:00:00,26.965,,,,,
212,2020/10/4,5:00:00,26.916,,,,,
213,2020/10/4,6:00:00,26.793,,,,,
214,2020/10/4,7:00:00,26.965,,,,,
215,2020/10/4,8:00:00,26.965,,,,,
216,2020/10/4,9:00:00,27.136,,,,,
217,2020/10/4,10:00:00,27.21,,,,,
218,2020/10/4,11:00:00,27.308,,,,,
219,2020/10/4,12:00:00,27.284,,,,,
220,2020/10/4,13:00:00,27.259,,,,,
221,2020/10/4,14:00:00,27.087,,,,,
222,2020/10/4,15:00:00,27.456,,,,,
223,2020/10/4,16:00:00,27.358,,,,,
224,2020/10/4,17:00:00,26.94,,,,,
225,2020/10/4,18:00:00,26.842,,,,,
226,2020/10/4,19:00:00,27.038,,,,,
227,2020/10/4,20:00:00,27.087,,,,,
228,2020/10/4,21:00:00,27.186,,,,,
229,2020/10/4,22:00:00,27.21,,,,,
230,2020/10/4,23:00:00,27.087,,,,,
231,2020/10/5,0:00:00,27.087,,,,,
