プロット タイトル: site07_spot005_2020,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054329, SEN S/N: 20054329)",カプラー取り外し (LGR S/N: 20054329),カプラー取り付け (LGR S/N: 20054329),ホスト接続 (LGR S/N: 20054329),停止済み (LGR S/N: 20054329),ファイルの終わり (LGR S/N: 20054329)
882,2019/11/27 14:30,25.089,,,,,
883,2019/11/27 15:00,24.992,,,,,
884,2019/11/27 15:30,24.992,,,,,
885,2019/11/27 16:00,24.992,,,,,
886,2019/11/27 16:30,24.895,,,,,
887,2019/11/27 17:00,24.895,,,,,
888,2019/11/27 17:30,24.895,,,,,
889,2019/11/27 18:00,24.871,,,,,
890,2019/11/27 18:30,24.871,,,,,
891,2019/11/27 19:00,24.847,,,,,
892,2019/11/27 19:30,24.823,,,,,
893,2019/11/27 20:00,24.774,,,,,
894,2019/11/27 20:30,24.774,,,,,
895,2019/11/27 21:00,24.798,,,,,
896,2019/11/27 21:30,24.798,,,,,
897,2019/11/27 22:00,24.798,,,,,
898,2019/11/27 22:30,24.774,,,,,
899,2019/11/27 23:00,24.75,,,,,
900,2019/11/27 23:30,24.75,,,,,
901,2019/11/28 0:00,24.75,,,,,
902,2019/11/28 0:30,24.798,,,,,
903,2019/11/28 1:00,24.823,,,,,
904,2019/11/28 1:30,24.847,,,,,
905,2019/11/28 2:00,24.823,,,,,
906,2019/11/28 2:30,24.847,,,,,
907,2019/11/28 3:00,24.823,,,,,
908,2019/11/28 3:30,24.798,,,,,
909,2019/11/28 4:00,24.798,,,,,
910,2019/11/28 4:30,24.774,,,,,
911,2019/11/28 5:00,24.726,,,,,
912,2019/11/28 5:30,24.774,,,,,
913,2019/11/28 6:00,24.774,,,,,
914,2019/11/28 6:30,24.726,,,,,
915,2019/11/28 7:00,24.653,,,,,
916,2019/11/28 7:30,24.677,,,,,
917,2019/11/28 8:00,24.677,,,,,
918,2019/11/28 8:30,24.702,,,,,
919,2019/11/28 9:00,24.702,,,,,
920,2019/11/28 9:30,24.847,,,,,
921,2019/11/28 10:00,24.944,,,,,
922,2019/11/28 10:30,24.968,,,,,
923,2019/11/28 11:00,24.992,,,,,
924,2019/11/28 11:30,24.992,,,,,
925,2019/11/28 12:00,24.895,,,,,
926,2019/11/28 12:30,24.944,,,,,
927,2019/11/28 13:00,24.871,,,,,
928,2019/11/28 13:30,24.847,,,,,
929,2019/11/28 14:00,24.798,,,,,
930,2019/11/28 14:30,24.823,,,,,
931,2019/11/28 15:00,24.774,,,,,
932,2019/11/28 15:30,24.75,,,,,
933,2019/11/28 16:00,24.702,,,,,
934,2019/11/28 16:30,24.605,,,,,
935,2019/11/28 17:00,24.557,,,,,
936,2019/11/28 17:30,24.557,,,,,
937,2019/11/28 18:00,24.605,,,,,
938,2019/11/28 18:30,24.605,,,,,
939,2019/11/28 19:00,24.581,,,,,
940,2019/11/28 19:30,24.532,,,,,
941,2019/11/28 20:00,24.532,,,,,
942,2019/11/28 20:30,24.508,,,,,
943,2019/11/28 21:00,24.46,,,,,
944,2019/11/28 21:30,24.46,,,,,
945,2019/11/28 22:00,24.46,,,,,
946,2019/11/28 22:30,24.484,,,,,
947,2019/11/28 23:00,24.436,,,,,
948,2019/11/28 23:30,24.412,,,,,
949,2019/11/29 0:00,24.388,,,,,
950,2019/11/29 0:30,24.363,,,,,
951,2019/11/29 1:00,24.436,,,,,
952,2019/11/29 1:30,24.532,,,,,
953,2019/11/29 2:00,24.508,,,,,
954,2019/11/29 2:30,24.436,,,,,
955,2019/11/29 3:00,24.484,,,,,
956,2019/11/29 3:30,24.532,,,,,
957,2019/11/29 4:00,24.532,,,,,
958,2019/11/29 4:30,24.46,,,,,
959,2019/11/29 5:00,24.412,,,,,
960,2019/11/29 5:30,24.484,,,,,
961,2019/11/29 6:00,24.484,,,,,
962,2019/11/29 6:30,24.484,,,,,
963,2019/11/29 7:00,24.484,,,,,
964,2019/11/29 7:30,24.46,,,,,
965,2019/11/29 8:00,24.46,,,,,
966,2019/11/29 8:30,24.436,,,,,
967,2019/11/29 9:00,24.484,,,,,
968,2019/11/29 9:30,24.605,,,,,
969,2019/11/29 10:00,24.702,,,,,
970,2019/11/29 10:30,24.581,,,,,
971,2019/11/29 11:00,24.798,,,,,
972,2019/11/29 11:30,24.823,,,,,
973,2019/11/29 12:00,24.653,,,,,
974,2019/11/29 12:30,24.798,,,,,
975,2019/11/29 13:00,24.798,,,,,
976,2019/11/29 13:30,24.774,,,,,
977,2019/11/29 14:00,24.75,,,,,
978,2019/11/29 14:30,24.702,,,,,
979,2019/11/29 15:00,24.629,,,,,
980,2019/11/29 15:30,24.605,,,,,
981,2019/11/29 16:00,24.581,,,,,
982,2019/11/29 16:30,24.557,,,,,
983,2019/11/29 17:00,24.508,,,,,
984,2019/11/29 17:30,24.46,,,,,
985,2019/11/29 18:00,24.412,,,,,
986,2019/11/29 18:30,24.388,,,,,
987,2019/11/29 19:00,24.388,,,,,
988,2019/11/29 19:30,24.388,,,,,
989,2019/11/29 20:00,24.388,,,,,
990,2019/11/29 20:30,24.363,,,,,
991,2019/11/29 21:00,24.339,,,,,
992,2019/11/29 21:30,24.339,,,,,
993,2019/11/29 22:00,24.315,,,,,
994,2019/11/29 22:30,24.315,,,,,
995,2019/11/29 23:00,24.267,,,,,
996,2019/11/29 23:30,24.122,,,,,
997,2019/11/30 0:00,24.219,,,,,
998,2019/11/30 0:30,24.219,,,,,
999,2019/11/30 1:00,24.074,,,,,
1000,2019/11/30 1:30,23.881,,,,,
1001,2019/11/30 2:00,23.954,,,,,
1002,2019/11/30 2:30,24.219,,,,,
1003,2019/11/30 3:00,24.243,,,,,
1004,2019/11/30 3:30,24.267,,,,,
1005,2019/11/30 4:00,24.267,,,,,
1006,2019/11/30 4:30,24.315,,,,,
1007,2019/11/30 5:00,24.074,,,,,
1008,2019/11/30 5:30,24.098,,,,,
1009,2019/11/30 6:00,23.761,,,,,
