プロット タイトル:site09_spot001_2024,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20291291, SEN S/N: 20291291)",カプラー取り外し (LGR S/N: 20291291),カプラー取り付け (LGR S/N: 20291291),ホスト接続 (LGR S/N: 20291291),停止済み (LGR S/N: 20291291),ファイルの終わり (LGR S/N: 20291291)
1,11/05/23 09:00:00 午前,28.072,記録,,,,
2,11/05/23 10:00:00 午前,27.924,,,,,
3,11/05/23 11:00:00 午前,26.769,,,,,
4,11/05/23 12:00:00 午後,26.451,,,,,
5,11/05/23 01:00:00 午後,26.158,,,,,
6,11/05/23 02:00:00 午後,25.647,,,,,
7,11/05/23 03:00:00 午後,27.161,,,,,
8,11/05/23 04:00:00 午後,27.21,,,,,
9,11/05/23 05:00:00 午後,27.161,,,,,
10,11/05/23 06:00:00 午後,27.112,,,,,
11,11/05/23 07:00:00 午後,27.063,,,,,
12,11/05/23 08:00:00 午後,27.038,,,,,
13,11/05/23 09:00:00 午後,27.014,,,,,
14,11/05/23 10:00:00 午後,27.014,,,,,
15,11/05/23 11:00:00 午後,26.867,,,,,
16,11/06/23 12:00:00 午前,26.793,,,,,
17,11/06/23 01:00:00 午前,26.818,,,,,
18,11/06/23 02:00:00 午前,26.842,,,,,
19,11/06/23 03:00:00 午前,26.891,,,,,
20,11/06/23 04:00:00 午前,26.965,,,,,
21,11/06/23 05:00:00 午前,26.965,,,,,
22,11/06/23 06:00:00 午前,26.94,,,,,
23,11/06/23 07:00:00 午前,26.94,,,,,
24,11/06/23 08:00:00 午前,26.94,,,,,
25,11/06/23 09:00:00 午前,26.965,,,,,
26,11/06/23 10:00:00 午前,27.063,,,,,
27,11/06/23 11:00:00 午前,27.136,,,,,
28,11/06/23 12:00:00 午後,27.235,,,,,
29,11/06/23 01:00:00 午後,27.259,,,,,
30,11/06/23 02:00:00 午後,27.259,,,,,
31,11/06/23 03:00:00 午後,27.235,,,,,
32,11/06/23 04:00:00 午後,27.21,,,,,
33,11/06/23 05:00:00 午後,27.186,,,,,
34,11/06/23 06:00:00 午後,27.284,,,,,
35,11/06/23 07:00:00 午後,27.235,,,,,
36,11/06/23 08:00:00 午後,27.284,,,,,
37,11/06/23 09:00:00 午後,27.284,,,,,
38,11/06/23 10:00:00 午後,27.259,,,,,
39,11/06/23 11:00:00 午後,27.186,,,,,
40,11/07/23 12:00:00 午前,26.891,,,,,
41,11/07/23 01:00:00 午前,26.94,,,,,
42,11/07/23 02:00:00 午前,26.989,,,,,
43,11/07/23 03:00:00 午前,27.038,,,,,
44,11/07/23 04:00:00 午前,26.989,,,,,
45,11/07/23 05:00:00 午前,26.94,,,,,
46,11/07/23 06:00:00 午前,26.867,,,,,
47,11/07/23 07:00:00 午前,26.793,,,,,
48,11/07/23 08:00:00 午前,26.769,,,,,
49,11/07/23 09:00:00 午前,26.744,,,,,
50,11/07/23 10:00:00 午前,26.744,,,,,
51,11/07/23 11:00:00 午前,26.72,,,,,
52,11/07/23 12:00:00 午後,26.842,,,,,
53,11/07/23 01:00:00 午後,26.989,,,,,
54,11/07/23 02:00:00 午後,27.038,,,,,
55,11/07/23 03:00:00 午後,26.989,,,,,
56,11/07/23 04:00:00 午後,26.891,,,,,
57,11/07/23 05:00:00 午後,26.818,,,,,
58,11/07/23 06:00:00 午後,26.72,,,,,
59,11/07/23 07:00:00 午後,26.622,,,,,
60,11/07/23 08:00:00 午後,26.573,,,,,
61,11/07/23 09:00:00 午後,26.524,,,,,
62,11/07/23 10:00:00 午後,26.475,,,,,
63,11/07/23 11:00:00 午後,26.28,,,,,
64,11/08/23 12:00:00 午前,26.256,,,,,
65,11/08/23 01:00:00 午前,26.182,,,,,
66,11/08/23 02:00:00 午前,26.182,,,,,
67,11/08/23 03:00:00 午前,26.207,,,,,
68,11/08/23 04:00:00 午前,26.329,,,,,
69,11/08/23 05:00:00 午前,26.353,,,,,
70,11/08/23 06:00:00 午前,26.353,,,,,
71,11/08/23 07:00:00 午前,26.378,,,,,
72,11/08/23 08:00:00 午前,26.426,,,,,
73,11/08/23 09:00:00 午前,26.378,,,,,
74,11/08/23 10:00:00 午前,26.426,,,,,
75,11/08/23 11:00:00 午前,26.524,,,,,
76,11/08/23 12:00:00 午後,26.475,,,,,
77,11/08/23 01:00:00 午後,26.695,,,,,
78,11/08/23 02:00:00 午後,26.769,,,,,
79,11/08/23 03:00:00 午後,26.744,,,,,
