プロット タイトル: site12_spot040_2020,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054373, SEN S/N: 20054373)",カプラー取り外し (LGR S/N: 20054373),ファイルの終わり (LGR S/N: 20054373)
1,10/21/19 12:00:00 午後,24.992,記録,記録
2,10/21/19 12:00:00 午後,24.871,,
3,10/21/19 12:00:00 午後,24.895,,
4,10/21/19 12:00:00 午後,27.53,,
5,10/21/19 12:00:00 午後,27.382,,
6,10/21/19 12:00:00 午後,27.014,,
7,10/21/19 12:00:00 午後,26.793,,
8,10/21/19 12:00:00 午後,26.72,,
9,10/21/19 12:00:00 午後,26.622,,
10,10/21/19 12:00:00 午後,26.549,,
11,10/21/19 12:00:00 午後,26.451,,
12,10/21/19 12:00:00 午後,26.426,,
13,10/21/19 12:00:00 午後,26.549,,
14,10/21/19 12:00:00 午後,26.646,,
15,10/21/19 12:00:00 午後,26.646,,
16,10/21/19 12:00:00 午後,26.598,,
17,10/21/19 12:00:00 午後,26.426,,
18,10/21/19 12:00:00 午後,26.353,,
19,10/21/19 12:00:00 午後,26.329,,
20,10/21/19 12:00:00 午後,26.329,,
21,10/21/19 12:00:00 午後,26.378,,
22,10/21/19 12:00:00 午後,26.524,,
23,10/21/19 12:00:00 午後,26.304,,
24,10/21/19 12:00:00 午後,26.28,,
25,10/21/19 12:00:00 午後,27.136,,
26,10/21/19 12:00:00 午後,27.727,,
27,10/21/19 12:00:00 午後,27.751,,
28,10/21/19 12:00:00 午後,27.727,,
29,10/21/19 12:00:00 午後,27.702,,
30,10/21/19 12:00:00 午後,27.358,,
31,10/21/19 12:00:00 午後,26.916,,
32,10/21/19 12:00:00 午後,26.793,,
33,10/21/19 12:00:00 午後,26.744,,
34,10/21/19 12:00:00 午後,26.598,,
35,10/21/19 12:00:00 午後,26.549,,
36,10/21/19 12:00:00 午後,26.475,,
37,10/21/19 12:00:00 午後,26.475,,
38,10/21/19 12:00:00 午後,26.475,,
39,10/21/19 12:00:00 午後,26.695,,
40,10/21/19 12:00:00 午後,26.72,,
41,10/21/19 12:00:00 午後,26.671,,
42,10/21/19 12:00:00 午後,26.549,,
43,10/21/19 12:00:00 午後,26.475,,
44,10/21/19 12:00:00 午後,26.5,,
45,10/21/19 12:00:00 午後,26.598,,
46,10/21/19 12:00:00 午後,26.671,,
47,10/21/19 12:00:00 午後,26.891,,
48,10/21/19 12:00:00 午後,26.891,,
49,10/21/19 12:00:00 午後,27.21,,
50,10/21/19 12:00:00 午後,27.505,,
51,10/21/19 12:00:00 午後,27.505,,
52,10/21/19 12:00:00 午後,27.259,,
53,10/21/19 12:00:00 午後,27.333,,
54,10/21/19 12:00:00 午後,27.259,,
55,10/21/19 12:00:00 午後,27.235,,
56,10/21/19 12:00:00 午後,27.038,,
57,10/21/19 12:00:00 午後,26.916,,
58,10/21/19 12:00:00 午後,26.867,,
59,10/21/19 12:00:00 午後,26.793,,
60,10/21/19 12:00:00 午後,26.695,,
61,10/21/19 12:00:00 午後,26.646,,
62,10/21/19 12:00:00 午後,26.549,,
63,10/21/19 12:00:00 午後,26.646,,
64,10/21/19 12:00:00 午後,26.695,,
65,10/21/19 12:00:00 午後,26.72,,
66,10/21/19 12:00:00 午後,26.695,,
67,10/21/19 12:00:00 午後,26.524,,
68,10/21/19 12:00:00 午後,26.426,,
69,10/21/19 12:00:00 午後,26.475,,
70,10/21/19 12:00:00 午後,26.646,,
71,10/21/19 12:00:00 午後,26.867,,
72,10/21/19 12:00:00 午後,27.21,,
73,10/21/19 12:00:00 午後,27.21,,
74,10/21/19 12:00:00 午後,27.456,,
75,10/21/19 12:00:00 午後,27.53,,
76,10/21/19 12:00:00 午後,27.333,,
77,10/21/19 12:00:00 午後,27.161,,
78,10/21/19 12:00:00 午後,27.063,,
79,10/21/19 12:00:00 午後,26.94,,
80,10/21/19 12:00:00 午後,27.161,,
81,10/21/19 12:00:00 午後,27.259,,
82,10/21/19 12:00:00 午後,27.087,,
83,10/21/19 12:00:00 午後,27.136,,
84,10/21/19 12:00:00 午後,26.695,,
85,10/21/19 12:00:00 午後,26.231,,
86,10/21/19 12:00:00 午後,26.402,,
87,10/21/19 12:00:00 午後,26.524,,
88,10/21/19 12:00:00 午後,26.549,,
89,10/21/19 12:00:00 午後,26.524,,
90,10/21/19 12:00:00 午後,26.524,,
91,10/21/19 12:00:00 午後,26.451,,
92,10/21/19 12:00:00 午後,26.256,,
93,10/21/19 12:00:00 午後,26.329,,
94,10/21/19 12:00:00 午後,26.475,,
95,10/21/19 12:00:00 午後,26.451,,
96,10/21/19 12:00:00 午後,26.916,,
97,10/21/19 12:00:00 午後,26.891,,
98,10/21/19 12:00:00 午後,27.014,,
99,10/21/19 12:00:00 午後,27.751,,
100,10/21/19 12:00:00 午後,27.505,,
101,10/21/19 12:00:00 午後,27.235,,
102,10/21/19 12:00:00 午後,27.038,,
103,10/21/19 12:00:00 午後,26.891,,
104,10/21/19 12:00:00 午後,26.965,,
105,10/21/19 12:00:00 午後,26.989,,
106,10/21/19 12:00:00 午後,26.867,,
107,10/21/19 12:00:00 午後,26.818,,
108,10/21/19 12:00:00 午後,26.72,,
109,10/21/19 12:00:00 午後,26.573,,
110,10/21/19 12:00:00 午後,26.5,,
111,10/21/19 12:00:00 午後,26.378,,
112,10/21/19 12:00:00 午後,26.353,,
113,10/21/19 12:00:00 午後,26.524,,
