プロット タイトル: site17_spot131_2024,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 21155732, SEN S/N: 21155732)",カプラー取り外し (LGR S/N: 21155732),カプラー取り付け (LGR S/N: 21155732),ホスト接続 (LGR S/N: 21155732),ファイルの終わり (LGR S/N: 21155732)
1,10/25/23 08:00:00 午前,26.329,記録,,,
2,10/25/23 09:00:00 午前,27.333,,,,
3,10/25/23 10:00:00 午前,28.245,,,,
4,10/25/23 11:00:00 午前,28.617,,,,
5,10/25/23 12:00:00 午後,28.816,,,,
6,10/25/23 01:00:00 午後,29.59,,,,
7,10/25/23 02:00:00 午後,27.628,,,,
8,10/25/23 03:00:00 午後,27.579,,,,
9,10/25/23 04:00:00 午後,27.481,,,,
10,10/25/23 05:00:00 午後,27.53,,,,
11,10/25/23 06:00:00 午後,27.53,,,,
12,10/25/23 07:00:00 午後,27.382,,,,
13,10/25/23 08:00:00 午後,27.063,,,,
14,10/25/23 09:00:00 午後,27.235,,,,
15,10/25/23 10:00:00 午後,27.308,,,,
16,10/25/23 11:00:00 午後,27.161,,,,
17,10/26/23 12:00:00 午前,27.136,,,,
18,10/26/23 01:00:00 午前,27.186,,,,
19,10/26/23 02:00:00 午前,27.112,,,,
20,10/26/23 03:00:00 午前,27.136,,,,
21,10/26/23 04:00:00 午前,26.989,,,,
22,10/26/23 05:00:00 午前,27.112,,,,
23,10/26/23 06:00:00 午前,27.014,,,,
24,10/26/23 07:00:00 午前,26.916,,,,
25,10/26/23 08:00:00 午前,26.94,,,,
26,10/26/23 09:00:00 午前,27.063,,,,
27,10/26/23 10:00:00 午前,27.235,,,,
28,10/26/23 11:00:00 午前,27.382,,,,
29,10/26/23 12:00:00 午後,27.481,,,,
30,10/26/23 01:00:00 午後,27.53,,,,
31,10/26/23 02:00:00 午後,27.53,,,,
32,10/26/23 03:00:00 午後,27.53,,,,
33,10/26/23 04:00:00 午後,27.456,,,,
34,10/26/23 05:00:00 午後,27.333,,,,
35,10/26/23 06:00:00 午後,27.333,,,,
36,10/26/23 07:00:00 午後,27.407,,,,
37,10/26/23 08:00:00 午後,27.333,,,,
38,10/26/23 09:00:00 午後,27.308,,,,
39,10/26/23 10:00:00 午後,27.333,,,,
40,10/26/23 11:00:00 午後,27.21,,,,
41,10/27/23 12:00:00 午前,27.063,,,,
42,10/27/23 01:00:00 午前,27.014,,,,
43,10/27/23 02:00:00 午前,27.136,,,,
44,10/27/23 03:00:00 午前,27.112,,,,
45,10/27/23 04:00:00 午前,27.136,,,,
46,10/27/23 05:00:00 午前,27.112,,,,
47,10/27/23 06:00:00 午前,27.087,,,,
48,10/27/23 07:00:00 午前,27.063,,,,
49,10/27/23 08:00:00 午前,27.112,,,,
50,10/27/23 09:00:00 午前,27.136,,,,
51,10/27/23 10:00:00 午前,27.186,,,,
52,10/27/23 11:00:00 午前,27.284,,,,
53,10/27/23 12:00:00 午後,27.259,,,,
54,10/27/23 01:00:00 午後,26.622,,,,
55,10/27/23 02:00:00 午後,26.304,,,,
56,10/27/23 03:00:00 午後,27.038,,,,
57,10/27/23 04:00:00 午後,26.378,,,,
58,10/27/23 05:00:00 午後,26.402,,,,
59,10/27/23 06:00:00 午後,26.158,,,,
60,10/27/23 07:00:00 午後,26.061,,,,
61,10/27/23 08:00:00 午後,26.061,,,,
62,10/27/23 09:00:00 午後,26.28,,,,
63,10/27/23 10:00:00 午後,26.5,,,,
64,10/27/23 11:00:00 午後,26.622,,,,
65,10/28/23 12:00:00 午前,26.646,,,,
66,10/28/23 01:00:00 午前,26.695,,,,
67,10/28/23 02:00:00 午前,26.989,,,,
68,10/28/23 03:00:00 午前,27.038,,,,
69,10/28/23 04:00:00 午前,27.014,,,,
70,10/28/23 05:00:00 午前,26.965,,,,
71,10/28/23 06:00:00 午前,26.378,,,,
72,10/28/23 07:00:00 午前,26.524,,,,
73,10/28/23 08:00:00 午前,26.916,,,,
74,10/28/23 09:00:00 午前,26.891,,,,
75,10/28/23 10:00:00 午前,26.867,,,,
76,10/28/23 11:00:00 午前,27.014,,,,
77,10/28/23 12:00:00 午後,27.112,,,,
78,10/28/23 01:00:00 午後,27.087,,,,
79,10/28/23 02:00:00 午後,27.063,,,,
80,10/28/23 03:00:00 午後,26.818,,,,
81,10/28/23 04:00:00 午後,26.916,,,,
82,10/28/23 05:00:00 午後,26.695,,,,
83,10/28/23 06:00:00 午後,26.744,,,,
84,10/28/23 07:00:00 午後,26.842,,,,
85,10/28/23 08:00:00 午後,26.867,,,,
86,10/28/23 09:00:00 午後,26.842,,,,
87,10/28/23 10:00:00 午後,26.842,,,,
88,10/28/23 11:00:00 午後,26.793,,,,
89,10/29/23 12:00:00 午前,26.451,,,,
90,10/29/23 01:00:00 午前,26.402,,,,
91,10/29/23 02:00:00 午前,26.622,,,,
92,10/29/23 03:00:00 午前,26.769,,,,
93,10/29/23 04:00:00 午前,26.769,,,,
94,10/29/23 05:00:00 午前,26.695,,,,
95,10/29/23 06:00:00 午前,26.549,,,,
96,10/29/23 07:00:00 午前,26.598,,,,
97,10/29/23 08:00:00 午前,26.671,,,,
98,10/29/23 09:00:00 午前,26.695,,,,
99,10/29/23 10:00:00 午前,26.72,,,,
100,10/29/23 11:00:00 午前,26.867,,,,
101,10/29/23 12:00:00 午後,26.818,,,,
102,10/29/23 01:00:00 午後,26.842,,,,
103,10/29/23 02:00:00 午後,26.867,,,,
104,10/29/23 03:00:00 午後,26.867,,,,
105,10/29/23 04:00:00 午後,26.891,,,,
106,10/29/23 05:00:00 午後,26.842,,,,
107,10/29/23 06:00:00 午後,26.793,,,,
108,10/29/23 07:00:00 午後,26.793,,,,
109,10/29/23 08:00:00 午後,26.818,,,,
110,10/29/23 09:00:00 午後,26.744,,,,
111,10/29/23 10:00:00 午後,26.72,,,,
112,10/29/23 11:00:00 午後,26.646,,,,
113,10/30/23 12:00:00 午前,26.769,,,,
114,10/30/23 01:00:00 午前,26.94,,,,
115,10/30/23 02:00:00 午前,26.94,,,,
116,10/30/23 03:00:00 午前,26.94,,,,
117,10/30/23 04:00:00 午前,26.916,,,,
118,10/30/23 05:00:00 午前,26.769,,,,
119,10/30/23 06:00:00 午前,26.891,,,,
120,10/30/23 07:00:00 午前,26.5,,,,
121,10/30/23 08:00:00 午前,27.038,,,,
122,10/30/23 09:00:00 午前,27.186,,,,
123,10/30/23 10:00:00 午前,27.235,,,,
124,10/30/23 11:00:00 午前,27.161,,,,
125,10/30/23 12:00:00 午後,27.186,,,,
126,10/30/23 01:00:00 午後,27.21,,,,
127,10/30/23 02:00:00 午後,27.21,,,,
128,10/30/23 03:00:00 午後,27.186,,,,
129,10/30/23 04:00:00 午後,27.014,,,,
130,10/30/23 05:00:00 午後,27.014,,,,
