Plot Title: site19_spot001_2020,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20054360, SEN S/N: 20054360)",カプラー取り外し (LGR S/N: 20054360),カプラー取り付け (LGR S/N: 20054360),ホスト接続 (LGR S/N: 20054360),停止済み (LGR S/N: 20054360),ファイルの終わり (LGR S/N: 20054360)
18,11/08/19 10:07:26 午前,20.793,,,,,
19,11/08/19 11:07:26 午前,20.77,,,,,
20,11/08/19 12:07:26 午後,20.77,,,,,
21,11/08/19 01:07:26 午後,20.722,,,,,
22,11/08/19 02:07:26 午後,20.722,,,,,
23,11/08/19 03:07:26 午後,20.77,,,,,
24,11/08/19 04:07:26 午後,20.865,,,,,
25,11/08/19 05:07:26 午後,20.889,,,,,
26,11/08/19 06:07:26 午後,20.793,,,,,
27,11/08/19 07:07:26 午後,20.436,,,,,
28,11/08/19 08:07:26 午後,20.293,,,,,
29,11/08/19 09:07:26 午後,20.269,,,,,
30,11/08/19 10:07:26 午後,20.293,,,,,
31,11/08/19 11:07:26 午後,20.031,,,,,
32,11/09/19 12:07:26 午前,19.865,,,,,
33,11/09/19 01:07:26 午前,19.817,,,,,
34,11/09/19 02:07:26 午前,19.936,,,,,
35,11/09/19 03:07:26 午前,19.865,,,,,
36,11/09/19 04:07:26 午前,19.746,,,,,
37,11/09/19 05:07:26 午前,19.579,,,,,
38,11/09/19 06:07:26 午前,19.413,,,,,
39,11/09/19 07:07:26 午前,19.318,,,,,
40,11/09/19 08:07:26 午前,19.365,,,,,
41,11/09/19 09:07:26 午前,19.579,,,,,
42,11/09/19 10:07:26 午前,19.674,,,,,
43,11/09/19 11:07:26 午前,19.651,,,,,
44,11/09/19 12:07:26 午後,20.126,,,,,
45,11/09/19 01:07:26 午後,20.222,,,,,
46,11/09/19 02:07:26 午後,20.365,,,,,
47,11/09/19 03:07:26 午後,20.341,,,,,
48,11/09/19 04:07:26 午後,20.412,,,,,
49,11/09/19 05:07:26 午後,20.222,,,,,
50,11/09/19 06:07:26 午後,19.936,,,,,
51,11/09/19 07:07:26 午後,19.817,,,,,
52,11/09/19 08:07:26 午後,19.912,,,,,
53,11/09/19 09:07:26 午後,20.007,,,,,
54,11/09/19 10:07:26 午後,20.031,,,,,
55,11/09/19 11:07:26 午後,19.912,,,,,
56,11/10/19 12:07:26 午前,19.555,,,,,
57,11/10/19 01:07:26 午前,19.46,,,,,
58,11/10/19 02:07:26 午前,19.436,,,,,
59,11/10/19 03:07:26 午前,19.508,,,,,
60,11/10/19 04:07:26 午前,19.365,,,,,
61,11/10/19 05:07:26 午前,19.151,,,,,
62,11/10/19 06:07:26 午前,18.961,,,,,
63,11/10/19 07:07:26 午前,18.771,,,,,
64,11/10/19 08:07:26 午前,18.723,,,,,
65,11/10/19 09:07:26 午前,19.151,,,,,
66,11/10/19 10:07:26 午前,19.341,,,,,
67,11/10/19 11:07:26 午前,19.579,,,,,
68,11/10/19 12:07:26 午後,19.841,,,,,
69,11/10/19 01:07:26 午後,19.674,,,,,
70,11/10/19 02:07:26 午後,19.46,,,,,
71,11/10/19 03:07:26 午後,19.865,,,,,
72,11/10/19 04:07:26 午後,20.293,,,,,
73,11/10/19 05:07:26 午後,20.436,,,,,
74,11/10/19 06:07:26 午後,20.507,,,,,
75,11/10/19 07:07:26 午後,20.484,,,,,
76,11/10/19 08:07:26 午後,20.007,,,,,
77,11/10/19 09:07:26 午後,19.746,,,,,
78,11/10/19 10:07:26 午後,19.674,,,,,
79,11/10/19 11:07:26 午後,19.674,,,,,
80,11/11/19 12:07:26 午前,19.651,,,,,
81,11/11/19 01:07:26 午前,19.603,,,,,
82,11/11/19 02:07:26 午前,19.532,,,,,
83,11/11/19 03:07:26 午前,19.389,,,,,
84,11/11/19 04:07:26 午前,19.389,,,,,
85,11/11/19 05:07:26 午前,19.389,,,,,
86,11/11/19 06:07:26 午前,19.436,,,,,
87,11/11/19 07:07:26 午前,19.46,,,,,
88,11/11/19 08:07:26 午前,19.46,,,,,
89,11/11/19 09:07:26 午前,19.793,,,,,
90,11/11/19 10:07:26 午前,19.77,,,,,
91,11/11/19 11:07:26 午前,19.627,,,,,
92,11/11/19 12:07:26 午後,19.698,,,,,
93,11/11/19 01:07:26 午後,19.865,,,,,
94,11/11/19 02:07:26 午後,20.198,,,,,
95,11/11/19 03:07:26 午後,20.436,,,,,
96,11/11/19 04:07:26 午後,20.507,,,,,
97,11/11/19 05:07:26 午後,20.674,,,,,
98,11/11/19 06:07:26 午後,20.65,,,,,
99,11/11/19 07:07:26 午後,20.579,,,,,
100,11/11/19 08:07:26 午後,20.317,,,,,
101,11/11/19 09:07:26 午後,20.436,,,,,
102,11/11/19 10:07:26 午後,20.484,,,,,
103,11/11/19 11:07:26 午後,20.222,,,,,
104,11/12/19 12:07:26 午前,20.055,,,,,
