site19_spot001_2024,,
no,time,temp
702,11/21/23 10:00:00 午前,18.794
703,11/21/23 11:00:00 午前,19.08
704,11/21/23 12:00:00 午後,19.151
705,11/21/23 01:00:00 午後,19.27
706,11/21/23 02:00:00 午後,19.484
707,11/21/23 03:00:00 午後,19.698
708,11/21/23 04:00:00 午後,19.817
709,11/21/23 05:00:00 午後,19.888
710,11/21/23 06:00:00 午後,19.936
711,11/21/23 07:00:00 午後,19.96
712,11/21/23 08:00:00 午後,19.96
713,11/21/23 09:00:00 午後,19.936
714,11/21/23 10:00:00 午後,19.912
715,11/21/23 11:00:00 午後,19.888
716,11/22/23 12:00:00 午前,19.865
717,11/22/23 01:00:00 午前,19.793
718,11/22/23 02:00:00 午前,19.746
719,11/22/23 03:00:00 午前,19.722
720,11/22/23 04:00:00 午前,19.77
721,11/22/23 05:00:00 午前,19.77
722,11/22/23 06:00:00 午前,19.77
723,11/22/23 07:00:00 午前,19.746
724,11/22/23 08:00:00 午前,19.698
725,11/22/23 09:00:00 午前,19.722
726,11/22/23 10:00:00 午前,19.746
727,11/22/23 11:00:00 午前,19.793
728,11/22/23 12:00:00 午後,19.841
729,11/22/23 01:00:00 午後,19.888
730,11/22/23 02:00:00 午後,19.912
731,11/22/23 03:00:00 午後,19.888
732,11/22/23 04:00:00 午後,19.888
733,11/22/23 05:00:00 午後,19.865
734,11/22/23 06:00:00 午後,19.888
735,11/22/23 07:00:00 午後,19.912
736,11/22/23 08:00:00 午後,19.912
737,11/22/23 09:00:00 午後,19.912
738,11/22/23 10:00:00 午後,19.888
739,11/22/23 11:00:00 午後,19.865
740,11/23/23 12:00:00 午前,19.817
741,11/23/23 01:00:00 午前,19.793
742,11/23/23 02:00:00 午前,19.77
743,11/23/23 03:00:00 午前,19.77
744,11/23/23 04:00:00 午前,19.77
745,11/23/23 05:00:00 午前,19.77
746,11/23/23 06:00:00 午前,19.793
747,11/23/23 07:00:00 午前,19.793
748,11/23/23 08:00:00 午前,19.793
749,11/23/23 09:00:00 午前,19.817
750,11/23/23 10:00:00 午前,19.817
751,11/23/23 11:00:00 午前,19.817
752,11/23/23 12:00:00 午後,19.841
753,11/23/23 01:00:00 午後,19.888
754,11/23/23 02:00:00 午後,19.912
755,11/23/23 03:00:00 午後,19.936
756,11/23/23 04:00:00 午後,19.96
757,11/23/23 05:00:00 午後,19.96
758,11/23/23 06:00:00 午後,19.936
759,11/23/23 07:00:00 午後,19.888
760,11/23/23 08:00:00 午後,19.722
761,11/23/23 09:00:00 午後,19.579
762,11/23/23 10:00:00 午後,19.484
763,11/23/23 11:00:00 午後,19.46
764,11/24/23 12:00:00 午前,19.389
765,11/24/23 01:00:00 午前,19.318
766,11/24/23 02:00:00 午前,19.246
767,11/24/23 03:00:00 午前,19.151
768,11/24/23 04:00:00 午前,19.175
769,11/24/23 05:00:00 午前,19.103
770,11/24/23 06:00:00 午前,19.008
771,11/24/23 07:00:00 午前,18.961
772,11/24/23 08:00:00 午前,18.842
773,11/24/23 09:00:00 午前,18.747
774,11/24/23 10:00:00 午前,18.699
775,11/24/23 11:00:00 午前,18.723
776,11/24/23 12:00:00 午後,18.771
777,11/24/23 01:00:00 午後,18.747
778,11/24/23 02:00:00 午後,18.723
779,11/24/23 03:00:00 午後,18.723
780,11/24/23 04:00:00 午後,18.842
781,11/24/23 05:00:00 午後,19.103
782,11/24/23 06:00:00 午後,19.008
783,11/24/23 07:00:00 午後,18.937
784,11/24/23 08:00:00 午後,18.866
785,11/24/23 09:00:00 午後,18.771
786,11/24/23 10:00:00 午後,18.866
787,11/24/23 11:00:00 午後,18.937
788,11/25/23 12:00:00 午前,19.056
789,11/25/23 01:00:00 午前,19.175
790,11/25/23 02:00:00 午前,19.318
791,11/25/23 03:00:00 午前,19.365
792,11/25/23 04:00:00 午前,19.413
793,11/25/23 05:00:00 午前,19.413
794,11/25/23 06:00:00 午前,19.389
795,11/25/23 07:00:00 午前,19.389
796,11/25/23 08:00:00 午前,19.341
797,11/25/23 09:00:00 午前,19.151
798,11/25/23 10:00:00 午前,18.889
799,11/25/23 11:00:00 午前,18.675
800,11/25/23 12:00:00 午後,18.675
801,11/25/23 01:00:00 午後,18.675
802,11/25/23 02:00:00 午後,18.723
803,11/25/23 03:00:00 午後,18.794
804,11/25/23 04:00:00 午後,18.913
805,11/25/23 05:00:00 午後,18.961
806,11/25/23 06:00:00 午後,18.961
807,11/25/23 07:00:00 午後,18.961
808,11/25/23 08:00:00 午後,18.961
809,11/25/23 09:00:00 午後,18.937
810,11/25/23 10:00:00 午後,18.937
811,11/25/23 11:00:00 午後,18.913
812,11/26/23 12:00:00 午前,18.889
