プロット タイトル:site22_spot006_2021,,,,,,,
#,"日付 時間, GMT+09:00","温度, °C (LGR S/N: 20481320, SEN S/N: 20481320)",カプラー取り外し (LGR S/N: 20481320),カプラー取り付け (LGR S/N: 20481320),ホスト接続 (LGR S/N: 20481320),停止済み (LGR S/N: 20481320),ファイルの終わり (LGR S/N: 20481320)
1,11/20/20 01:00:00 午後,25.55,記録,,,,
2,11/20/20 02:00:00 午後,25.914,,,,,
3,11/20/20 02:54:43 午後,,,記録,,,
4,11/20/20 02:54:48 午後,,,,記録,,
5,11/20/20 02:56:16 午後,,記録,,,,
6,11/20/20 03:00:00 午後,26.109,,,,,
7,11/20/20 04:00:00 午後,23.497,,,,,
8,11/20/20 05:00:00 午後,23.4,,,,,
9,11/20/20 06:00:00 午後,23.304,,,,,
10,11/20/20 07:00:00 午後,23.304,,,,,
11,11/20/20 08:00:00 午後,23.328,,,,,
12,11/20/20 09:00:00 午後,23.304,,,,,
13,11/20/20 10:00:00 午後,22.944,,,,,
14,11/20/20 11:00:00 午後,22.968,,,,,
15,11/21/20 12:00:00 午前,22.944,,,,,
16,11/21/20 01:00:00 午前,22.92,,,,,
17,11/21/20 02:00:00 午前,22.824,,,,,
18,11/21/20 03:00:00 午前,22.489,,,,,
19,11/21/20 04:00:00 午前,22.537,,,,,
20,11/21/20 05:00:00 午前,22.513,,,,,
21,11/21/20 06:00:00 午前,22.513,,,,,
22,11/21/20 07:00:00 午前,22.393,,,,,
23,11/21/20 08:00:00 午前,22.345,,,,,
24,11/21/20 09:00:00 午前,22.345,,,,,
25,11/21/20 10:00:00 午前,22.321,,,,,
26,11/21/20 11:00:00 午前,22.321,,,,,
27,11/21/20 12:00:00 午後,22.369,,,,,
28,11/21/20 01:00:00 午後,22.609,,,,,
29,11/21/20 02:00:00 午後,22.681,,,,,
30,11/21/20 03:00:00 午後,22.776,,,,,
31,11/21/20 04:00:00 午後,22.824,,,,,
32,11/21/20 05:00:00 午後,22.848,,,,,
33,11/21/20 06:00:00 午後,22.872,,,,,
34,11/21/20 07:00:00 午後,22.753,,,,,
35,11/21/20 08:00:00 午後,22.585,,,,,
36,11/21/20 09:00:00 午後,22.513,,,,,
37,11/21/20 10:00:00 午後,22.345,,,,,
38,11/21/20 11:00:00 午後,22.274,,,,,
39,11/22/20 12:00:00 午前,22.13,,,,,
40,11/22/20 01:00:00 午前,22.058,,,,,
41,11/22/20 02:00:00 午前,22.034,,,,,
42,11/22/20 03:00:00 午前,21.939,,,,,
43,11/22/20 04:00:00 午前,21.963,,,,,
44,11/22/20 05:00:00 午前,21.987,,,,,
45,11/22/20 06:00:00 午前,22.011,,,,,
46,11/22/20 07:00:00 午前,22.154,,,,,
47,11/22/20 08:00:00 午前,22.226,,,,,
48,11/22/20 09:00:00 午前,22.369,,,,,
49,11/22/20 10:00:00 午前,22.537,,,,,
50,11/22/20 11:00:00 午前,22.537,,,,,
51,11/22/20 12:00:00 午後,22.8,,,,,
52,11/22/20 01:00:00 午後,22.8,,,,,
53,11/22/20 02:00:00 午後,22.848,,,,,
54,11/22/20 03:00:00 午後,22.824,,,,,
55,11/22/20 04:00:00 午後,22.776,,,,,
56,11/22/20 05:00:00 午後,22.753,,,,,
57,11/22/20 06:00:00 午後,22.776,,,,,
58,11/22/20 07:00:00 午後,22.776,,,,,
59,11/22/20 08:00:00 午後,22.753,,,,,
60,11/22/20 09:00:00 午後,22.8,,,,,
61,11/22/20 10:00:00 午後,22.8,,,,,
62,11/22/20 11:00:00 午後,22.776,,,,,
63,11/23/20 12:00:00 午前,22.753,,,,,
64,11/23/20 01:00:00 午前,22.513,,,,,
65,11/23/20 02:00:00 午前,22.369,,,,,
66,11/23/20 03:00:00 午前,22.465,,,,,
67,11/23/20 04:00:00 午前,22.393,,,,,
68,11/23/20 05:00:00 午前,22.298,,,,,
69,11/23/20 06:00:00 午前,22.202,,,,,
70,11/23/20 07:00:00 午前,22.13,,,,,
71,11/23/20 08:00:00 午前,22.13,,,,,
72,11/23/20 09:00:00 午前,22.226,,,,,
73,11/23/20 10:00:00 午前,22.298,,,,,
74,11/23/20 11:00:00 午前,22.345,,,,,
75,11/23/20 12:00:00 午後,22.441,,,,,
76,11/23/20 01:00:00 午後,22.537,,,,,
77,11/23/20 02:00:00 午後,22.417,,,,,
78,11/23/20 03:00:00 午後,22.393,,,,,
79,11/23/20 04:00:00 午後,22.369,,,,,
80,11/23/20 05:00:00 午後,22.321,,,,,
81,11/23/20 06:00:00 午後,22.226,,,,,
82,11/23/20 07:00:00 午後,22.178,,,,,
83,11/23/20 08:00:00 午後,21.963,,,,,
84,11/23/20 09:00:00 午後,21.891,,,,,
85,11/23/20 10:00:00 午後,21.867,,,,,
86,11/23/20 11:00:00 午後,21.772,,,,,
87,11/24/20 12:00:00 午前,21.652,,,,,
88,11/24/20 01:00:00 午前,21.581,,,,,
89,11/24/20 02:00:00 午前,21.509,,,,,
90,11/24/20 03:00:00 午前,21.39,,,,,
91,11/24/20 04:00:00 午前,21.461,,,,,
92,11/24/20 05:00:00 午前,21.581,,,,,
93,11/24/20 06:00:00 午前,21.628,,,,,
94,11/24/20 07:00:00 午前,21.628,,,,,
95,11/24/20 08:00:00 午前,21.604,,,,,
