Plot Title: site24_spot007_2020,,,,,,,
#,"Date Time, GMT+09:00","Temp, °C",Coupler Detached,Coupler Attached,Host Connected,Stopped,End Of File
1,09/11/19 12:00:00 午前,28.965,Logged,,,,
2,09/11/19 01:00:00 午前,29.14,,,,,
3,09/11/19 02:00:00 午前,29.24,,,,,
4,09/11/19 03:00:00 午前,29.24,,,,,
5,09/11/19 04:00:00 午前,29.24,,,,,
6,09/11/19 05:00:00 午前,29.215,,,,,
7,09/11/19 06:00:00 午前,29.165,,,,,
8,09/11/19 07:00:00 午前,29.14,,,,,
9,09/11/19 08:00:00 午前,29.09,,,,,
10,09/11/19 09:00:00 午前,27.875,,,,,
11,09/11/19 10:00:00 午前,29.941,,,,,
12,09/11/19 11:00:00 午前,32.381,,,,,
13,09/11/19 12:00:00 午後,32.768,,,,,
14,09/11/19 01:00:00 午後,33.261,,,,,
15,09/11/19 02:00:00 午後,32.587,,,,,
16,09/11/19 03:00:00 午後,32.82,,,,,
17,09/11/19 04:00:00 午後,27.407,,,,,
18,09/11/19 05:00:00 午後,27.53,,,,,
19,09/11/19 06:00:00 午後,27.554,,,,,
20,09/11/19 07:00:00 午後,27.579,,,,,
21,09/11/19 08:00:00 午後,27.259,,,,,
22,09/11/19 09:00:00 午後,27.235,,,,,
23,09/11/19 10:00:00 午後,27.456,,,,,
24,09/11/19 11:00:00 午後,27.899,,,,,
25,09/12/19 12:00:00 午前,28.245,,,,,
26,09/12/19 01:00:00 午前,28.196,,,,,
27,09/12/19 02:00:00 午前,28.196,,,,,
28,09/12/19 03:00:00 午前,28.27,,,,,
29,09/12/19 04:00:00 午前,27.358,,,,,
30,09/12/19 05:00:00 午前,26.916,,,,,
31,09/12/19 06:00:00 午前,26.989,,,,,
32,09/12/19 07:00:00 午前,26.744,,,,,
33,09/12/19 08:00:00 午前,26.646,,,,,
34,09/12/19 09:00:00 午前,26.475,,,,,
35,09/12/19 10:00:00 午前,26.989,,,,,
36,09/12/19 11:00:00 午前,27.235,,,,,
